Species,Size
BLU,15
BLU,15
BLU,12
BLU,12
BLU,12
BLU,12
BLU,12
BLU,32
BLU,27
GOR,34
CNR,26
PIP,18
PIP,18
PIP,18
PIP,18
PIP,12
PIP,12
PIP,17
PIP,17
PIP,17
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SEN,13
SHF,22
SHF,22
BLU,17
BLU,17
BLU,17
BLU,17
BLU,17
BLU,12
BLU,12
BLU,12
BLU,12
VCR,22
VCR,28
SEN,8
SEN,8
SEN,8
SEN,12
SEN,12
SEN,12
SEN,12
SEN,12
SEN,12
SEN,12
SEN,12
SEN,12
SEN,10
SEN,10
SEN,10
SEN,10
SEN,10
SEN,15
SEN,15
SEN,15
SEN,15
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
SEN,8
PIP,12
PIP,12
PIP,19
PIP,19
PIP,19
RUB,28
RUB,32
RUB,32
RUB,32
KRF,17
KRF,17
KRF,21
KRF,24
KRF,24
KRF,24
KRF,24
